Brand	Phone Name	Official/Unofficial	Storage	Variant	Price	Stock-Out
Apple	"MacBook Pro 16"" M4 Pro"	Official	48/512GB		342999	
Samsung	Galaxy F04	Official	4/64		10999	
Samsung	Galaxy F05	Official	4/64		12499	
Samsung	Galaxy F14	Official	4/64		13499	
Samsung	Galaxy F23	Official	4/128		18499	
Samsung	Galaxy F23	Official	6/128		19999	
Samsung	Galaxy F34	Official	6/128		21499	Out of Stock
Samsung	Galaxy F34	Official	8/128		25499	Out of Stock
Samsung	Galaxy M05	Official	4/64		11999	
Samsung	Galaxy M14	Official	4/64		13999	
Samsung	Galaxy M15	Official	6/128		18999	
Samsung	Galaxy M33	Official	6/128		22999	
Samsung	Galaxy M34	Official	6/128		23499	
Samsung	Galaxy M35	Official	6/128		20999	
Samsung	Galaxy A05s	Official	6/128		17999	
Samsung	Galaxy A14	Official	6/128		13499	
Samsung	Galaxy A15	Official	6/128		19499	
Samsung	Galaxy A15	Official	8/128		20499	Out of Stock
Samsung	Galaxy A15	Official	8/256		21999	Out of Stock
Samsung	Galaxy A15 5G	Official	8/256		23999	Out of Stock
Samsung	Galaxy A16	Official	6/128		18999	
Samsung	Galaxy A16	Official	8/256		22499	
Samsung	Galaxy A25	Official	6/128		23499	Out of Stock
Samsung	Galaxy A25	Official	8/256		27499	Out of Stock
Samsung	Galaxy A34	Official	8/128		30499	Out of Stock
Samsung	Galaxy A34	Official	8/256		31999	Out of Stock
Samsung	Galaxy A35	Official	8/128		32999	
Samsung	Galaxy A35	Official	8/256		34999	
Samsung	Galaxy A54	Official	8+128		35499	Out of Stock
Samsung	Galaxy A54	Official	8+256		39499	Out of Stock
Samsung	Galaxy A55	Official	8/128		39499	
Samsung	Galaxy A55	Official	8/256		44499	
Samsung	Galaxy A55	Official	12/256		46499	
Samsung	Galaxy A56	Official	8/128		42499	
Samsung	Galaxy A56	Official	8/256		47499	
Samsung	Galaxy A56	Official	12/256		48499	
Samsung	Galaxy A36	Official	8/128		34999	
Samsung	Galaxy A36	Official	8/256		39499	
Samsung	Galaxy A36	Official	12/256		41499	
Samsung	Samsung Galaxy S23 (8/128) --------------------	Official			61499	
Samsung	Samsung Galaxy S23 (8/256) --------------------	Official			65499	
Samsung	Samsung Galaxy S23 Plus (8/256) ---------------	Official			79999	
Samsung	Samsung Galaxy S24	Official	8/128	Single	67499	
Samsung	Samsung Galaxy S24	Official	8/256		73499	
Samsung	Samsung Galaxy S24 Plus	Official	12/256	Single	87999	
Samsung	Samsung Galaxy S24 Plus	Official	12/256	Dual	95999	
Samsung	Samsung Galaxy S24 FE	Official	8/128		54499	
Samsung	Samsung Galaxy S24 FE	Official	8/256		59499	
Samsung	Samsung Galaxy S24 Ultra (12/256) ----------	Official			101999	
Samsung	Samsung Galaxy S24 Ultra (12/256) ----------	Official			114999	
Samsung	Samsung Galaxy S24 Ultra (12/512) ----------	Official			114499	
Samsung	Samsung Galaxy S24 Ultra (12/1TB) ----------	Official			165999	
Samsung	Samsung Galaxy S25	Official	12/256	Dual	89999	
Samsung	Samsung Galaxy S25 Ultra (12/256) ----------	Official		Dual	121999	
Samsung	Samsung Galaxy S25 Ultra (12/512) ----------	Official		Dual	135499	
Samsung	Samsung Galaxy S25 Ultra (12/1TB) ----------	Official		Dual	169999	
Amazon	Amazon Kindle Paperwhite	Official	32GB		20499	
Xiaomi	Redmi Pad	Official	6/128		29499	
Xiaomi	Redmi Pad SE	Official	8/256		21499	
Xiaomi	Xiaomi Pad 5	Official	6/128		36499	
Xiaomi	Xiaomi Pad 5 Pro	Official	6/256		39999	
Xiaomi	Xiaomi Pad 5 Pro	Official	8/256		49999	Out of Stock
Xiaomi	Xiaomi Pad 6	Official	8/256		34499	
Xiaomi	Xiaomi Pad 7	Official	8/256		41999	
Xiaomi	Redmi Pad Pro	Official	8/256		32999	
Xiaomi	Redmi 12	Official	6/128		15999	
Xiaomi	Redmi 13C	Official	4/128		13999	
Xiaomi	Redmi 13C	Official	6/128		14999	
Xiaomi	Redmi Note 12 4G	Unofficial	6/64	IND	18499	
Xiaomi	Redmi Note 13 4G	Unofficial	8/256	INT	20499	
Xiaomi	Redmi Turbo 3	Unofficial	12/256	CN	28499	Out of Stock
Xiaomi	Redmi Turbo 4	Unofficial	12/256	CN	37999	
Xiaomi	Redmi Turbo 4	Unofficial	16/256	CN	39499	
Xiaomi	Redmi Note 13 Pro 4G	Unofficial	8/256	INT	25499	
Xiaomi	Redmi Note 13 Pro 5G	Unofficial	8/256	INT	32999	
Xiaomi	Redmi Note 13 Pro 5G	Unofficial	8/256	Global	27499	
Xiaomi	Redmi Note 13 Pro Plus	Unofficial	8/256	INT	38999	
Xiaomi	Redmi Note 13 Pro Plus	Unofficial	8/256	IND	33499	
Xiaomi	Redmi Note 13 Pro Plus	Unofficial	12/256	IND	35999	
Xiaomi	Redmi Note 13 Pro Plus	Unofficial	12/256	CN	35499	
Xiaomi	Redmi Note 13 Pro Plus	Unofficial	12/512	IND	39999	
Xiaomi	Redmi Note 14 5G	Unofficial	6/128	IND	27499	
Xiaomi	Redmi Note 14 4G	Unofficial	8/256	INT	20999	
Xiaomi	Redmi Note 14 Pro	Unofficial	8/128	IND	34999	
Xiaomi	Redmi Note 14 Pro 5G	Unofficial	8/256	INT	32499	
Xiaomi	Redmi Note 14 Pro	Unofficial	12/256	CN	30499	
Xiaomi	Redmi Note 14 Pro 5G	Unofficial	12/256	INT	35499	
Xiaomi	Redmi Note 14 Pro 5G	Unofficial	12/512	INT	36499	
Xiaomi	Redmi Note 14 Pro Plus	Unofficial	8/128	IND	42499	
Xiaomi	Redmi Note 14 Pro Plus	Unofficial	12/256	CN	33499	
Xiaomi	Redmi Note 14 Pro Plus	Unofficial	8/256	INT	39999	Out of Stock
Xiaomi	Redmi Note 14 Pro Plus	Unofficial	12/512	INT	44999	
Xiaomi	Xiaomi 14	Official	12/512		85499	
Xiaomi	Xiaomi 14T	Official	12/256		53999	
Xiaomi	Xiaomi 15 ULTRA	Official	16/512		149999	
Xiaomi	Poco C31	Official	3/32		10999	Out of Stock
Xiaomi	Poco C31	Official	4/64		12499	Out of Stock
Xiaomi	Poco C51	Official	6/128		10499	Out of Stock
Xiaomi	Poco C55	Official	6/128		12499	Out of Stock
Xiaomi	Poco C61	Official	4/64		11999	
Xiaomi	Poco C61	Official	6/128		11499	Out of Stock
Xiaomi	Poco C65	Official	4/128		12999	
Xiaomi	Poco C65	Official	6/128		14499	
Xiaomi	Poco C65	Official	8/256		14999	Out of Stock
Xiaomi	Poco C75	Official	4/64		13999	
Xiaomi	Poco M3	Official	6/128		15499	Out of Stock
Xiaomi	Poco M6	Official	6/128		16999	
Xiaomi	Poco F6	Unofficial	8/256	IND	35	
Xiaomi	Poco X5	Official	6/128		20999	Out of Stock
Xiaomi	Poco X5	Official	8/256		22999	Out of Stock
Xiaomi	Poco X6	Unofficial	8/256	IND	27499	
Xiaomi	Poco X6	Unofficial	12/256	IND	28499	
Xiaomi	Poco X6 Neo	Official	8/128		18999	
Xiaomi	Poco X6 Neo	Official	12/256		23999	
Xiaomi	Poco X6 Pro	Unofficial	8/256	IND	32499	
Xiaomi	Poco X6 Pro	Unofficial	12/512	IND	39499	
Xiaomi	Poco X7	Official	8/128		28499	
Xiaomi	Poco X7	Official	8/256		31999	
Xiaomi	Poco X7 Pro	Unofficial	8/256	IND	36499	
Xiaomi	Poco X7 Pro	Unofficial	12/256	IND	39999	
Xiaomi	Poco X7 Pro	Official	12/512		57999	
OnePlus	OnePlus Nord N20 SE	Official	4/64		14499	
OnePlus	OnePlus Nord 4	Official	8/128		37499	
OnePlus	OnePlus Nord 4	Official	8/256		38499	
OnePlus	OnePlus Nord 4	Official	12/256		43499	
OnePlus	OnePlus Nord 4	Official	16/512		60499	
OnePlus	OnePlus Nord CE 3	Official	8/128		30999	
OnePlus	OnePlus Nord CE 3	Official	12/256		42499	
OnePlus	OnePlus Nord CE 3 Lite	Official	8/128		28999	
OnePlus	OnePlus Nord CE 3 Lite	Official	8/256		30999	
OnePlus	OnePlus Nord CE 4	Official	8/128		33999	
OnePlus	OnePlus Nord CE 4	Official	8/256		35999	
OnePlus	OnePlus Open	Official	16/512		159999	
OnePlus	OnePlus 11R	Official	16/256GB		49999	
OnePlus	OnePlus 12R	Official	8/128		53999	
OnePlus	OnePlus 12R	Official	16/256		62499	
OnePlus	OnePlus 12	Official	12/256		79999	
OnePlus	OnePlus 12	Official	16/512		99999	
OnePlus	OnePlus 13	Official	12/256		90999	
OnePlus	OnePlus 13	Official	16/512		96499	
OnePlus	OnePlus 13R	Unofficial	12/256	IND	58999	
Realme	Realme Narzo 50	Official	4/64		16499	Out of Stock
Realme	Realme Narzo 50	Official	6/128		17999	Out of Stock
Realme	Realme Narzo N53	Official	4/64		13499	
Realme	Realme Narzo N53	Official	6/128		15999	
Realme	Realme Narzo N53	Official	8/128		17499	
Realme	Realme Narzo N55	Official	4/64		15499	
Realme	Realme Narzo N55	Official	6/128		18499	
Realme	Realme Narzo 60	Official	8/128		22999	
Realme	Realme Narzo 60	Official	8/256		26999	Out of Stock
Realme	Realme Narzo 60 Pro	Official	8/128		33499	Out of Stock
Realme	Realme Narzo 60 Pro	Official	12/256		34499	
Realme	Realme Narzo 60 Pro	Official	12/1TB		43499	Out of Stock
Realme	Realme Narzo 70 Pro	Official	8/128		25999	
Realme	Realme Narzo 70 Turbo	Official	8/128		24999	
Realme	Realme Narzo 80 Pro	Official	8/256		32499	
Realme	Realme Narzo 80X	Official	8/128		22999	
Realme	Realme C55	Official	4/64		14499	
Realme	Realme C55	Official	6/64		15499	Out of Stock
Realme	Realme C55	Official	8/128		17999	
Realme	Realme 10 4G	Official	4/64		17999	
Realme	Realme 10 4G	Official	8/128		22999	Out of Stock
Realme	Realme 10 4G	Official	8/256GB		23999	Out of Stock
Realme	Realme GT Neo 5	Official	12/256		40999	Out of Stock
Realme	Realme GT Neo 5	Official	16GB/1TB		56999	Out of Stock
Realme	Realme GT Neo5 SE	Official	12/256		38999	Out of Stock
Realme	Realme GT Neo6 SE	Official	8/256		37499	Out of Stock
Realme	Realme GT Neo6 SE	Official	12/256		39499	Out of Stock
Realme	Realme GT5	Official	12/256		58499	Out of Stock
Realme	Realme GT5 Pro	Official	12/256		71999	Out of Stock
Motorola	Moto G04s	Official	4/64		13999	
Motorola	Moto G05	Official	4/64		12499	
Motorola	Moto G24 Power	Official	4/128		14999	Out of Stock
Motorola	Moto G24 Power	Official	8/128		19499	
Motorola	Moto G34	Official	8/128		19999	Out of Stock
Motorola	Moto G35	Official	4/128		16499	
Motorola	Moto G45	Official	4/128		15999	
Motorola	Moto G45	Official	8/128		18499	
Motorola	Moto G64	Official	8/128		22499	
Motorola	Moto G64	Official	12/256		24499	
Motorola	Moto G85	Official	8/128		24999	
Motorola	Moto G85	Official	12/256		27999	
Motorola	Moto Edge 50 Neo	Official	8/256		31499	
Motorola	Moto Edge 50	Official	8/256		34499	
Motorola	Moto Edge 50 Pro	Official	8/256		42999	Out of Stock
Motorola	Moto Edge 50 Pro	Official	12/256		41999	
Motorola	Moto Edge 50 Fusion	Official	8/128		30499	
Motorola	Moto Edge 50 Fusion	Official	12/256		33999	
Motorola	Moto Edge 60 Fusion	Official	8/256		34499	
Motorola	Moto Edge 60 Fusion	Official	12/256		36499	
Motorola	Moto Edge 60 Pro	Official	8/256		48499	
Motorola	Moto Edge 60 Pro	Official	12/256		53499	
Motorola	Moto Edge 60 Stylus	Official	8/256		33999	
Motorola	Motorola Razr 40 Ultra	Official	12/512GB		79999	
Motorola	Motorola Razr 50 Ultra	Official	12/512GB		89999	
Honor	HONOR X9b	Unofficial	8/256	IND	27999	Out of Stock
Honor	HONOR X9b	Unofficial	12/256	INT	28999	
Honor	HONOR X9c	Unofficial	12/256	INT	32999	
Honor	HONOR X9c	Unofficial	12/512	INT	34999	
Honor	HONOR X9c Smart	Official	12/256		26999	
Honor	HONOR 90	Unofficial	8/256	IND	38499	Out of Stock
Honor	HONOR 90	Unofficial	12/256	INT	34999	
Honor	HONOR 90	Unofficial	12/512	INT	44999	Out of Stock
Honor	HONOR 90 Lite	Unofficial	8/256	INT	21999	
Honor	HONOR 100 Pro	Unofficial	12/256	CN	66499	
Honor	HONOR 200	Unofficial	8/256	IND	32999	
Honor	HONOR 200	Unofficial	12/256	INT	37499	
Honor	HONOR 200	Unofficial	12/512	INT	41999	
Honor	HONOR 200 Pro	Unofficial	12/512	INT	52999	
Honor	HONOR 400	Unofficial	12/256	INT	42999	
Honor	HONOR 400	Unofficial	12/512	INT	44999	
Honor	HONOR 400 Pro	Unofficial	12/512	INT	67999	
Honor	HONOR 400 Lite	Unofficial	12/256	INT	26999	
Honor	HONOR GT	Unofficial	12/256	CN	41499	
Honor	HONOR Magic 5 Pro	Unofficial	12/512	INT	89999	
Honor	HONOR Magic 6 Pro	Unofficial	12/512	INT	100999	
Honor	HONOR Magic 7 Pro	Unofficial	12/256	CN	103999	
Honor	HONOR Magic 7 Pro	Unofficial	12/512	INT	132999	
Honor	HONOR Magic V2	Unofficial	16/512	INT	129999	
Honor	HONOR Magic Pad 2	Official	12/256		56999	
Oppo	Oppo Reno 10 Pro Plus	Unofficial	12/256	INT	54999	
Asus	Asus ROG Phone 8	Official	12/256		96999	
Asus	Asus ROG Phone 8	Official	16/256		107999	
Vivo	Vivo V40	Official	12/256		47499	
Vivo	Vivo V50	Unofficial	8/256	IND	47499	
Vivo	Vivo X100 Pro	Unofficial	16/512	CN	109999	
Vivo	Vivo X200	Unofficial	12/256	CN	71499	
Vivo	Vivo X200 Pro	Unofficial	12/256	CN	92499	
Vivo	Vivo X200 Pro	Unofficial	16/512	CN	96499	
Vivo	Vivo X200 Pro Mini	Unofficial	12/256	CN	83999	
Vivo	Vivo T3 Ultra	Official	8/256		45999	
Vivo	Vivo T4X	Official	6/128		22999	
Vivo	Vivo T4X	Official	8/256		27499	
iQOO	iQOO Z6 Lite	Official	6/128GB		20499	Out of Stock
iQOO	iQOO Z7 Pro	Official	8/256		33499	Out of Stock
iQOO	iQOO Z9 5G	Unofficial	8/128	IND	25999	
iQOO	iQOO Z9 5G	Unofficial	8/256	IND	27499	
iQOO	iQOO Z9s	Official	8/128		28499	
iQOO	iQOO Z9s	Official	8/256		31499	
iQOO	iQOO Z9s Pro	Official	8/128		35999	
iQOO	iQOO Z9s Pro	Official	12/256		41499	
iQOO	iQOO Z9 Turbo	Unofficial	12/256	CN	34499	
iQOO	iQOO Z9 Turbo Plus	Unofficial	12/256	CN	41999	
iQOO	iQOO Z9X 5G	Unofficial	6/128	IND	19499	
iQOO	iQOO Z10	Official	8/128		31999	
iQOO	iQOO Z10	Official	8/256		34499	
iQOO	iQOO Z10X 5G	Unofficial	6/128	IND	21499	
iQOO	iQOO Z10X 5G	Unofficial	8/128	IND	24499	
iQOO	iQOO Z10X 5G	Unofficial	8/256	IND	24999	
iQOO	iQOO Neo7 SE	Official	12/256GB		36999	
iQOO	iQOO Neo 7 Pro	Official	8/128		47999	
iQOO	iQOO Neo 7 Pro	Official	8/256		54999	
iQOO	iQOO Neo 8	Official	12/256		42499	
iQOO	iQOO Neo 8 Pro	Official	16/256		56999	
iQOO	iQOO Neo 9	Unofficial	12/256	CN	37499	
iQOO	iQOO Neo 9	Unofficial	16/256	CN	51499	
iQOO	iQOO Neo 9 Pro	Unofficial	8/256	IND	52999	Out of Stock
iQOO	iQOO Neo 9 Pro	Official	12/256		59499	Out of Stock
iQOO	iQOO Neo 10	Unofficial	12/256	CN	41999	
iQOO	iQOO Neo 10R	Unofficial	8/128	IND	39999	
iQOO	iQOO Neo 10R	Unofficial	12/256	IND	47499	
iQOO	iQOO 12	Unofficial	12/256GB	CN	72499	
iQOO	iQOO 13	Unofficial	12/256GB	CN	74999	
Nothing	CMF Phone 1	Unofficial	6/128	IND	23499	
Nothing	CMF Phone 1	Unofficial	8/128	IND	22499	
Nothing	Nothing Phone 3A	Unofficial	8/128	IND	35999	
Nothing	Nothing Phone 3A	Unofficial	8/256	IND	38999	
ZTE	ZTE Nubia Filp	Official	8/256		66999	Out of Stock
Nokia	Nokia 2660 Flip ------------	Official			7699	
Nokia	Nokia 6310 -----------------	Official			6299	
Nokia	Nokia 220 4G ---------------	Official			5999	
Nokia	Nokia 235 4G  --------------	Official			6699	
Nokia	Nokia 130 Music ------------	Official			3799	
Nokia	Nokia 5310 -----------------	Official			6499	
Nokia	Nokia 5710 -----------------	Official			7699	
Nokia	Nokia 3310 -----------------	Official			7999	
Apple	iPhone 14 128GB -----------------	Official			146999	
Apple	iPhone 14 Pro Max 128GB ---------	Official			201599	
Apple	iPhone 15 128GB --------------------	Official			159999	
Apple	iPhone 15 Plus 256GB ---------------	Official			199999	
Apple	iPhone 15 Pro 256GB ----------------	Official			219999	
Apple	iPhone 15 Pro Max 256GB -----------	Official			239999	
Apple	iPhone 15 Pro Max 512GB -----------	Official			279999	
Apple	iPhone 15 Pro Max 1TB --------------	Official			319999	
Apple	iPhone 16 128GB ---------------------	Official			169999	
Apple	iPhone 16 Pro 128GB -----------------	Official			209999	
Apple	iPhone 16 Pro 256GB -----------------	Official			229999	
Apple	iPhone 16 Pro Max 256GB ------------	Official			249999	
Apple	iPhone 16 Pro Max 512GB ------------	Official			294999	
Apple	iPhone 16 Pro Max 1TB ---------------	Official			334999	
Google	Pixel 7 Pro	Official	12/128		59999	
Google	Pixel 8 Pro	Official	12/128		79999	
Google	Pixel 9	Official	12/128		89999	
Xiaomi	Redmi A5	Official	4/64		10999	
Xiaomi	Redmi A5	Official	6/128		12999	
Xiaomi	Redmi A3	Official	4/64		10999	
Xiaomi	Redmi A3	Official	6/128		12999	
Xiaomi	Redmi 13	Official	6/128		16999	
Xiaomi	Redmi 13	Official	8/128		17999	
Xiaomi	Redmi 14C	Official	4/128		12999	
Xiaomi	Redmi 14C	Official	6/128		13999	
Xiaomi	Redmi Note 13	Official	6/128		20999	
Xiaomi	Redmi Note 13	Official	8/256		22999	
Xiaomi	Redmi Note 14	Official	6/128		20999	
Xiaomi	Redmi Note 14	Official	8/256		23999	
Xiaomi	Redmi Note 14 Pro 4G	Official	8/256		29999	
Xiaomi	Redmi Note 14 Pro 5G	Official	8/256		42999	
Xiaomi	Redmi Note 14 Pro Plus	Official	12/512		54999	
Xiaomi	Redmi Pad Pro	Official	6/128		27999	
Xiaomi	Redmi Pad Pro	Official	8/256		32499	
Xiaomi	Xiaomi Pad 7	Official	8/256		42999	
Honor	HONOR X5b	Official	4/64		10999	
Honor	HONOR X5b Plus	Official	4/128		12999	
Honor	HONOR X6b	Official	6/128		14999	
Honor	HONOR X7C	Official	8/256		22999	
Honor	HONOR X8a	Official	8/128		25499	
Honor	HONOR X8C	Official	8/512		34999	
Honor	HONOR X9C	Official	12/256		44999	
Honor	HONOR 200	Official	12/512		52999	
Honor	HONOR 400	Official	12/512		59999	
Honor	HONOR 400 Pro	Official	12/512		78999	
Honor	HONOR Pad 9	Official	8/256		36999	
Honor	HONOR Pad X8a	Official	4/64		17999	
Honor	HONOR Pad X8a	Official	4/128		19999	
Honor	HONOR Pad X8a	Official	4/128		26999	
Honor	HONOR Pad X9	Official	4/128		22999	
Honor	HONOR Pad X9 LTE	Official	4/128		29999	
Motorola	Motorola E22S	Official	4/64		14999	
Motorola	Motorola E32	Official	4/64		15999	
OnePlus	OnePlus Nord N30 SE	Official	4/128		16999	
OnePlus	OnePlus Nord CE 4 Lite 5G	Official	8/256		23999	
OnePlus	OnePlus Nord 4	Official	12/256GB		54999	
OnePlus	OnePlus Nord 4	Official	16/512GB		65999	
OnePlus	OnePlus 13	Official	12/256		103899	
OnePlus	OnePlus 13	Official	16/512		111999	
OnePlus	OnePlus 13R	Official	12/256		72999	
OnePlus	OnePlus Pad 2	Official	12/256		59999	
Realme	Realme C61	Official	6+128		14999	
Realme	Realme C63	Official	6+128		14999	
Realme	Realme C63	Official	8+128		15999	
Realme	Realme C65	Official	8/128		17999	
Realme	Realme C65	Official	8/256		20999	
Realme	Realme C71	Official	4/128		14999	
Realme	Realme C71	Official	6/128		15999	
Realme	Realme C75	Official	8/128		19999	
Realme	Realme C75	Official	8/256		22999	
Realme	Realme C75X	Official	6/128		17999	
Realme	Realme Note 60	Official	4/64		11499	
Realme	Realme Note 60	Official	4/128		11999	
Realme	Realme Note 60X	Official	4/64		10999	
Realme	Realme 12 4G	Official	8/256		27999	
Realme	Realme 14 5G	Official	12/256		41999	
Realme	Realme 14T 5G	Official	8/256		31999	
Helio	Helio 40	Official	6/128		12499	
Helio	Helio 40	Official	8/128		13199	
Helio	Helio 50	Official	6/128		14699	
Helio	Helio 50	Official	8/128		15499	
Helio	Helio 90	Official	8/128		19999	
Nokia	Nokia 105 DS 2023 ------------	Official			2350	
Nokia	Nokia 106 DS 2023 ------------	Official			2475	
Nokia	Nokia 110 DS 2023 ------------	Official			3000	
Nokia	Nokia 150 DS 2023 ------------	Official			4199	
Nokia	Nokia 3210 --------------------	Official			6499	
Nokia	Nokia C22    --------------------	Official			9999	
Nokia	Nokia C32    --------------------	Official			12999	
XTRA	XTRA X10 ----------------------	Official			2199	
Maximus	Maximus M311m ----------------	Official			1199	
DIZO	DIZO STAR 400 ----------------	Official			2499	
Benco	Benco S1	Official	6/128		11999	
Benco	Benco V90 Plus	Official	4/64		8990	
Benco	Benco S1 Pro	Official	6/128		14990	
